trajectory_id,method,seed,candidate_stage,rep,stress,year,action_id,edit_type,K,underwriting_result,loss_total,mu_hat_total,reward,discount,psi_z,psi_p,c_zonal,gamma_p,z_delta,decision_cost
30900055,Static Zoning,1010,0,55,historical,2022,KEEP|PRICE=0,KEEP,96,1402983.9982669726,17884888.18762524,17859140.91286316,1367399.8921456337,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900055,Static Zoning,1010,0,55,historical,2023,KEEP|PRICE=0,KEEP,96,798297.0100864284,18698332.02087365,18052434.287926,760496.4067081431,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900055,Static Zoning,1010,0,55,historical,2024,KEEP|PRICE=0,KEEP,96,1957839.3636066169,17566441.117297262,18078037.482318405,1921101.7726202833,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900055,Static Zoning,1010,0,55,historical,2025,KEEP|PRICE=0,KEEP,96,1181029.999967575,18275374.621735834,18015189.464540195,1143376.972516282,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900056,Static Zoning,1010,0,56,historical,2021,KEEP|PRICE=0,KEEP,96,64811.30894413963,19172237.633339792,17812082.353966605,30389.904430158567,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
30900056,Static Zoning,1010,0,56,historical,2022,KEEP|PRICE=0,KEEP,96,3748854.620356355,15539017.565535858,17859140.91286316,3713270.514235016,0.97,0.027247704696844486,0.0,0.3107129482046208,0.011371554387576685,3.570663640715629e-18,35584.10612133884
30900056,Static Zoning,1010,0,56,historical,2023,KEEP|PRICE=0,KEEP,96,821989.3354506977,18674639.69550938,18052434.287926,784188.7320724124,0.9409,0.028753539396956185,0.0,0.3107129482046208,0.02558480552427265,3.570663640715629e-18,37800.60337828534
30900056,Static Zoning,1010,0,56,historical,2024,KEEP|PRICE=0,KEEP,96,2016795.4187116623,17507485.062192217,18078037.482318405,1980057.8277253287,0.912673,0.02850660589516592,0.0,0.3107129482046208,0.00926322772104184,3.570663640715629e-18,36737.59098633354
30900056,Static Zoning,1010,0,56,historical,2025,KEEP|PRICE=0,KEEP,96,3392978.585518265,16063426.036185144,18015189.464540195,3355325.558066972,0.8852928099999999,0.0290784862621473,0.0,0.3107129482046208,0.016134349680605065,3.570663640715629e-18,37653.02745129308
30900057,Static Zoning,1010,0,57,historical,2021,KEEP|PRICE=0,KEEP,96,1453337.214061696,17783711.728222236,17812082.353966605,1418915.8095477151,1.0,0.026653580808865544,0.0,0.3107129482046208,0.0,3.570663640715629e-18,34421.40451398106
