trajectory_id,method,seed,rep,stress,G0,selected_stage,adverse_return
30000066,QR Mean,101,66,historical,4273823.268445125,4,-4273823.268445125
30000067,QR Mean,101,67,historical,9113724.821178248,4,-9113724.821178248
30000068,QR Mean,101,68,historical,6434970.030020029,4,-6434970.030020029
30000069,QR Mean,101,69,historical,7675160.673272194,4,-7675160.673272194
30000070,QR Mean,101,70,historical,-1037540.3204582769,4,1037540.3204582769
30000071,QR Mean,101,71,historical,6845905.901134305,4,-6845905.901134305
30000072,QR Mean,101,72,historical,4532477.829479665,4,-4532477.829479665
30000073,QR Mean,101,73,historical,9932995.726393351,4,-9932995.726393351
30000074,QR Mean,101,74,historical,7994766.642204015,4,-7994766.642204015
30000075,QR Mean,101,75,historical,4053890.9986478155,4,-4053890.9986478155
30000076,QR Mean,101,76,historical,4913073.8881368255,4,-4913073.8881368255
30000077,QR Mean,101,77,historical,6456729.734086281,4,-6456729.734086281
30000078,QR Mean,101,78,historical,7633499.5664675385,4,-7633499.5664675385
30000079,QR Mean,101,79,historical,7821088.125583718,4,-7821088.125583718
30000080,QR Mean,101,80,historical,6732783.321187103,4,-6732783.321187103
30000081,QR Mean,101,81,historical,8825581.821235236,4,-8825581.821235236
30000082,QR Mean,101,82,historical,11349320.11937181,4,-11349320.11937181
30000083,QR Mean,101,83,historical,5028297.093047025,4,-5028297.093047025
30000084,QR Mean,101,84,historical,5364233.2841446,4,-5364233.2841446
30000085,QR Mean,101,85,historical,7714679.174577562,4,-7714679.174577562
30000086,QR Mean,101,86,historical,11536391.001251535,4,-11536391.001251535
30000087,QR Mean,101,87,historical,1990523.899319195,4,-1990523.899319195
30000088,QR Mean,101,88,historical,7524943.571670253,4,-7524943.571670253
30000089,QR Mean,101,89,historical,2690289.6535796477,4,-2690289.6535796477
30000090,QR Mean,101,90,historical,3790128.860226501,4,-3790128.860226501
30000091,QR Mean,101,91,historical,2263004.1723221974,4,-2263004.1723221974
30000092,QR Mean,101,92,historical,1754926.0551130115,4,-1754926.0551130115
30000093,QR Mean,101,93,historical,4094692.7936715866,4,-4094692.7936715866
30000094,QR Mean,101,94,historical,5437004.401193566,4,-5437004.401193566
30000095,QR Mean,101,95,historical,11258741.64282941,4,-11258741.64282941
30000096,QR Mean,101,96,historical,6695377.137239058,4,-6695377.137239058
30000097,QR Mean,101,97,historical,6567909.752267211,4,-6567909.752267211
30000098,QR Mean,101,98,historical,6053013.806934249,4,-6053013.806934249
30000099,QR Mean,101,99,historical,11815926.27876477,4,-11815926.27876477
30000000,Tail-QR Zoning,101,0,historical,7837195.577372676,1,-7837195.577372676
30000001,Tail-QR Zoning,101,1,historical,7175655.685187643,1,-7175655.685187643
30000002,Tail-QR Zoning,101,2,historical,8199353.079838734,1,-8199353.079838734
30000003,Tail-QR Zoning,101,3,historical,9150289.934037637,1,-9150289.934037637
30000004,Tail-QR Zoning,101,4,historical,3520855.586563744,1,-3520855.586563744
30000005,Tail-QR Zoning,101,5,historical,4526427.52463164,1,-4526427.52463164
30000006,Tail-QR Zoning,101,6,historical,3098823.141647499,1,-3098823.141647499
30000007,Tail-QR Zoning,101,7,historical,4686386.427570856,1,-4686386.427570856
30000008,Tail-QR Zoning,101,8,historical,5148647.720893177,1,-5148647.720893177
30000009,Tail-QR Zoning,101,9,historical,6527478.514306828,1,-6527478.514306828
30000010,Tail-QR Zoning,101,10,historical,10101295.166373415,1,-10101295.166373415
30000011,Tail-QR Zoning,101,11,historical,8698545.746222915,1,-8698545.746222915
30000012,Tail-QR Zoning,101,12,historical,6138020.566979836,1,-6138020.566979836
30000013,Tail-QR Zoning,101,13,historical,7046818.910761629,1,-7046818.910761629
30000014,Tail-QR Zoning,101,14,historical,10461436.413294505,1,-10461436.413294505
30000015,Tail-QR Zoning,101,15,historical,-1053430.0660290394,1,1053430.0660290394
30000016,Tail-QR Zoning,101,16,historical,2606308.7539979005,1,-2606308.7539979005
30000017,Tail-QR Zoning,101,17,historical,4563765.969894087,1,-4563765.969894087
30000018,Tail-QR Zoning,101,18,historical,6942223.319789929,1,-6942223.319789929
30000019,Tail-QR Zoning,101,19,historical,10997041.867338289,1,-10997041.867338289
30000020,Tail-QR Zoning,101,20,historical,5455843.817490564,1,-5455843.817490564
30000021,Tail-QR Zoning,101,21,historical,2342499.002836163,1,-2342499.002836163
30000022,Tail-QR Zoning,101,22,historical,6995310.852802478,1,-6995310.852802478
30000023,Tail-QR Zoning,101,23,historical,12520783.43505439,1,-12520783.43505439
30000024,Tail-QR Zoning,101,24,historical,8763808.673883352,1,-8763808.673883352
30000025,Tail-QR Zoning,101,25,historical,14831649.28084124,1,-14831649.28084124
30000026,Tail-QR Zoning,101,26,historical,8198428.199286662,1,-8198428.199286662
30000027,Tail-QR Zoning,101,27,historical,7163249.89155627,1,-7163249.89155627
30000028,Tail-QR Zoning,101,28,historical,4403615.281243089,1,-4403615.281243089
30000029,Tail-QR Zoning,101,29,historical,2455149.765285912,1,-2455149.765285912
30000030,Tail-QR Zoning,101,30,historical,11558714.43917424,1,-11558714.43917424
30000031,Tail-QR Zoning,101,31,historical,7517468.464796956,1,-7517468.464796956
